Source,Target,Weight
0,7,1966
4,0,1058
103,104,2
14,24,30
14,32,27
105,31,53
106,33,53
37,33,5
24,33,9
45,33,9
24,45,6
16,22,1
14,16,2
14,45,5
32,33,16
48,69,5
107,108,1
109,108,1
85,67,3
37,110,3
103,0,1
40,33,12
40,75,1
39,18,1
111,112,1
93,18,1
57,45,1
14,50,3
40,45,9
107,6,5
21,7,7
14,113,7
45,65,8
40,52,2
32,50,5
114,106,1
115,96,2
14,97,1
24,116,1
39,101,1
117,94,1
45,114,8
20,45,1
118,119,1
7,1,104
0,1,104
4,7,1052
7,3,226
0,3,226
21,8,6
8,7,6
14,46,3
24,46,3
16,46,3
16,32,3
32,46,3
14,35,28
35,32,24
106,31,45
31,33,44
32,37,4
103,10,1
104,10,1
14,38,1
24,38,1
37,120,2
120,33,1
121,37,8
121,45,8
37,45,10
42,7,2
42,27,2
27,7,6
45,120,1
45,106,8
58,79,3
58,122,3
79,122,3
123,114,8
123,65,8
114,65,8
50,33,1
50,45,2
32,40,8
50,40,3
54,124,2
54,125,2
124,125,3
14,126,1
50,126,1
127,59,3
127,122,3
59,122,3
128,86,3
128,65,7
65,86,3
99,14,1
99,116,1
14,116,1
14,129,1
24,129,1
14,96,2
14,37,2
96,37,2
32,45,5
32,31,21
45,31,11
7,2,194
0,2,194
4,2,194
4,3,109
15,4,3
15,101,3
15,72,3
4,101,6
4,72,3
101,72,3
14,12,2
24,12,2
46,12,2
35,24,16
24,32,12
106,105,40
105,33,39
14,106,15
14,105,20
14,31,20
35,106,12
32,106,16
121,40,1
37,40,4
27,56,2
27,6,5
7,56,2
7,6,5
56,6,2
130,131,1
130,132,1
130,45,1
131,132,1
131,45,1
132,45,1
32,105,20
35,31,15
35,105,15
68,10,1
19,10,1
133,10,4
68,19,1
68,133,1
19,133,1
35,33,8
14,134,1
14,135,1
32,134,1
32,135,1
134,135,1
71,39,1
71,54,1
71,53,1
39,54,1
39,53,1
54,53,2
136,49,2
49,72,1
49,110,1
136,72,1
136,110,1
110,72,1
128,123,8
128,75,3
37,128,1
123,75,3
37,123,1
37,75,1
24,106,8
24,105,15
24,31,15
14,33,11
40,106,11
40,105,13
40,31,13
39,76,1
39,112,1
39,137,1
39,52,1
76,112,1
76,137,1
76,52,2
112,137,1
112,52,1
137,52,1
35,40,12
14,40,12
26,40,6
24,40,7
35,26,5
14,26,5
26,24,5
32,123,2
32,114,1
32,65,1
45,123,8
35,45,4
35,50,1
50,106,1
89,4,2
138,4,2
36,4,2
4,139,2
89,138,2
89,36,2
89,139,2
138,36,2
138,139,2
36,139,2
14,140,1
35,140,1
24,140,1
32,140,1
141,142,4
141,143,4
141,144,3
141,145,3
141,146,4
142,143,4
142,144,3
142,145,3
142,146,4
143,144,3
143,145,3
143,146,4
144,145,2
144,146,3
145,146,3
21,147,5
21,95,2
21,72,1
147,8,5
147,95,2
147,72,1
147,7,5
8,95,2
8,72,1
95,72,1
95,7,2
72,7,1
45,105,6
37,31,3
37,105,3
9,29,4
9,148,4
9,41,4
9,17,4
9,56,1
29,148,4
29,41,4
29,17,4
29,56,1
148,41,4
148,17,4
148,56,1
41,17,4
41,56,1
56,17,1
32,115,1
32,96,1
32,128,1
115,45,1
115,128,1
115,123,1
96,45,5
96,128,5
96,123,5
45,128,7
117,76,1
117,52,1
117,45,1
117,86,1
26,117,1
117,40,1
76,45,1
76,86,1
26,76,1
76,40,1
45,52,1
86,52,1
26,52,1
45,86,3
26,45,1
26,86,1
40,86,1
96,114,4
128,114,6
114,31,4
96,65,5
96,31,5
128,31,4
123,31,4
65,31,5
14,65,1
96,40,1
96,105,1
37,65,1
40,65,1
65,105,1
149,150,2
149,151,2
149,152,2
149,153,2
149,34,2
149,154,2
149,155,2
150,151,2
150,152,2
150,153,2
150,34,2
150,154,2
150,155,2
151,152,2
151,153,2
151,34,2
151,154,2
151,155,2
152,153,2
152,34,2
152,154,2
152,155,2
153,34,2
153,154,2
153,155,2
34,154,2
34,155,2
154,155,2
10,101,4
156,101,1
157,101,3
133,101,3
0,101,5
101,93,5
156,10,1
157,10,3
4,10,4
0,10,4
10,93,4
156,157,1
156,133,1
156,4,1
156,0,1
156,93,1
157,133,3
157,4,3
157,0,3
157,93,3
133,4,3
133,0,3
133,93,3
4,93,5
0,93,5
102,101,2
158,101,2
102,10,2
158,10,2
157,102,2
157,158,2
102,158,2
102,133,2
102,4,2
102,0,2
102,93,2
158,133,2
158,4,2
158,0,2
158,93,2
160,159,66
161,159,66
162,159,66
163,159,66
164,159,66
165,159,66
166,159,66
159,167,66
159,168,66
161,160,66
162,160,66
163,160,66
164,160,66
165,160,66
166,160,66
160,167,66
160,168,66
161,162,66
161,163,66
161,164,66
161,165,66
161,166,66
161,167,66
161,168,66
162,163,66
162,164,66
162,165,66
162,166,66
162,167,66
162,168,66
163,164,66
163,165,66
163,166,66
163,167,66
163,168,66
164,165,66
164,166,66
164,167,66
164,168,66
165,166,66
165,167,66
165,168,66
166,167,66
166,168,66
167,168,66
149,74,1
149,92,1
150,74,1
150,92,1
151,74,1
151,92,1
152,74,1
152,92,1
74,153,1
74,34,1
74,154,1
74,155,1
74,92,1
153,92,1
34,92,1
154,92,1
155,92,1
101,91,2
169,101,2
87,101,2
170,101,2
169,91,2
87,91,2
170,91,2
4,91,2
0,91,2
93,91,2
15,91,2
72,91,2
87,169,2
170,169,2
169,4,2
169,0,2
169,93,2
15,169,2
169,72,2
87,170,2
87,4,2
87,0,2
87,93,2
87,15,2
87,72,2
170,4,2
170,0,2
170,93,2
170,15,2
170,72,2
15,0,2
0,72,2
15,93,2
72,93,2
159,0,35
160,0,35
161,0,35
162,0,35
163,0,35
164,0,35
165,0,35
166,0,35
167,0,35
0,168,35
42,39,1
21,39,1
147,39,1
27,39,1
8,39,1
39,95,1
39,7,1
107,39,1
39,109,1
39,56,1
39,6,1
42,21,1
42,147,1
42,8,1
42,95,1
107,42,1
42,109,1
42,56,1
42,6,1
21,27,4
107,21,4
21,109,4
21,56,1
21,6,4
147,27,4
107,147,4
147,109,4
147,56,1
147,6,4
27,8,4
27,95,1
107,27,4
27,109,4
107,8,4
8,109,4
8,56,1
8,6,4
107,95,1
95,109,1
95,56,1
95,6,1
107,7,4
109,7,4
107,109,4
107,56,1
109,56,1
109,6,4
159,7,32
159,1,32
160,7,32
160,1,32
161,7,32
161,1,32
162,7,32
162,1,32
163,7,32
163,1,32
164,7,32
164,1,32
165,7,32
165,1,32
166,7,32
166,1,32
167,7,32
167,1,32
168,7,32
168,1,32
87,10,1
87,82,1
87,53,1
10,91,1
170,10,1
15,10,1
169,10,1
82,10,1
10,72,1
10,53,1
82,91,1
53,91,1
170,82,1
170,53,1
15,82,1
15,53,1
169,82,1
169,53,1
82,4,1
82,0,1
82,101,1
82,72,1
82,53,2
82,93,1
4,53,1
0,53,1
101,53,1
72,53,1
53,93,1
107,9,3
107,63,3
107,29,3
107,148,3
107,41,3
107,17,3
21,9,3
21,63,3
21,29,3
21,148,3
21,41,3
21,17,3
147,9,3
147,63,3
147,29,3
147,148,3
147,41,3
147,17,3
27,9,3
27,63,3
27,29,3
27,148,3
27,41,3
27,17,3
8,9,3
8,63,3
8,29,3
8,148,3
8,41,3
8,17,3
9,109,3
9,63,3
9,7,3
9,6,3
109,63,3
109,29,3
109,148,3
109,41,3
109,17,3
63,29,3
63,7,3
63,148,3
63,41,3
63,6,3
63,17,3
29,7,3
29,6,3
7,148,3
7,41,3
7,17,3
148,6,3
41,6,3
6,17,3
103,69,3
171,69,2
136,69,2
88,69,3
36,69,2
58,69,3
172,69,2
173,69,3
51,69,2
23,69,3
127,69,3
124,69,2
69,125,2
69,174,3
103,171,2
103,136,2
103,88,3
103,36,2
103,58,3
103,172,2
103,173,3
103,51,2
103,23,3
103,127,3
103,124,2
103,125,2
103,174,3
171,136,2
171,88,2
171,36,2
171,58,2
171,172,2
171,173,2
171,51,2
171,23,2
171,127,2
171,124,2
171,125,2
171,174,2
136,88,2
136,36,2
136,58,2
136,172,2
136,173,2
136,51,2
136,23,2
136,127,2
136,124,2
136,125,2
136,174,2
88,36,2
88,58,3
88,172,2
88,173,3
88,51,2
88,23,3
88,127,3
88,124,2
88,125,2
88,174,3
36,58,2
36,172,2
36,173,2
36,51,2
36,23,2
36,127,2
36,124,2
36,125,2
36,174,2
58,172,2
58,173,3
58,51,2
58,23,3
58,127,3
58,124,2
58,125,2
58,174,3
172,173,2
172,51,2
172,23,2
172,127,2
172,124,2
172,125,2
172,174,2
173,51,2
173,23,3
173,127,3
173,124,2
173,125,2
173,174,3
51,23,2
51,127,2
51,124,2
51,125,2
51,174,2
23,127,3
23,124,2
23,125,2
23,174,3
127,124,2
127,125,2
127,174,3
124,174,2
125,174,2
45,75,2
45,110,2
45,70,2
45,81,2
175,45,2
45,126,2
45,97,2
45,129,2
45,113,2
128,110,2
128,70,2
128,81,2
175,128,2
126,128,2
128,97,2
128,129,2
128,113,2
123,110,2
70,123,2
81,123,2
175,123,2
126,123,2
123,86,2
123,97,2
123,129,2
123,113,2
75,114,2
110,114,2
70,114,2
81,114,2
175,114,2
126,114,2
114,86,2
114,97,2
114,129,2
114,113,2
75,65,2
110,65,2
70,65,2
81,65,2
175,65,2
126,65,2
65,97,2
65,129,2
65,113,2
110,75,2
70,75,2
81,75,2
175,75,2
126,75,2
75,86,2
75,97,2
75,129,2
75,113,2
70,110,2
81,110,2
175,110,2
126,110,2
110,86,2
110,97,2
110,129,2
110,113,2
70,81,2
175,70,2
126,70,2
70,86,2
70,97,2
70,129,2
70,113,2
175,81,2
126,81,2
81,86,2
81,97,2
81,129,2
81,113,2
175,126,2
175,86,2
175,97,2
175,129,2
175,113,2
126,86,2
126,97,2
126,129,2
126,113,2
97,86,2
129,86,2
113,86,2
97,129,2
97,113,2
129,113,2
82,85,1
82,69,1
103,82,1
88,82,1
58,82,1
173,82,1
82,54,1
82,48,1
82,61,1
82,23,1
82,112,1
82,127,1
82,79,1
82,59,1
82,122,1
82,174,1
82,67,1
85,69,2
103,85,2
88,85,2
58,85,2
173,85,2
54,85,2
48,85,2
61,85,2
23,85,2
85,112,1
85,127,2
85,79,2
85,59,2
85,122,2
85,53,1
85,174,2
54,69,2
61,69,2
112,69,1
79,69,2
59,69,2
122,69,2
69,53,1
69,67,2
103,54,2
103,48,2
103,61,2
103,112,1
103,79,2
103,59,2
103,122,2
103,53,1
103,67,2
88,54,2
88,48,2
88,61,2
88,112,1
88,79,2
88,59,2
88,122,2
88,53,1
88,67,2
58,54,2
58,48,2
58,61,2
58,112,1
58,59,2
58,53,1
58,67,2
173,54,2
173,48,2
173,61,2
173,112,1
173,79,2
173,59,2
173,122,2
173,53,1
173,67,2
54,48,2
54,61,2
54,23,2
54,112,1
54,127,2
54,79,2
54,59,2
54,122,2
54,174,2
54,67,2
48,61,2
48,23,2
48,112,1
48,127,2
48,79,2
48,59,2
48,122,2
48,53,1
48,174,2
48,67,2
61,23,2
61,112,1
61,127,2
61,79,2
61,59,2
61,122,2
61,53,1
61,174,2
61,67,2
23,112,1
23,79,2
23,59,2
23,122,2
23,53,1
23,67,2
112,127,1
112,79,1
112,59,1
112,122,1
112,53,1
112,174,1
112,67,1
127,79,2
127,53,1
127,67,2
79,59,2
79,53,1
79,174,2
79,67,2
59,53,1
59,174,2
59,67,2
122,53,1
122,174,2
122,67,2
53,174,1
53,67,1
174,67,2
177,176,3
178,176,3
141,176,3
142,176,3
179,176,3
143,176,3
180,176,3
181,176,2
182,176,3
183,176,3
176,184,2
176,185,3
176,186,2
176,187,3
176,188,3
176,189,3
176,146,3
176,190,2
176,144,2
178,177,3
177,141,3
177,142,3
177,179,3
177,143,3
177,180,3
177,181,2
177,182,3
177,183,3
177,184,2
177,185,3
177,186,2
177,187,3
177,188,3
177,189,3
177,146,3
177,190,2
177,144,2
178,141,3
178,142,3
178,179,3
178,143,3
178,180,3
178,181,2
178,182,3
178,183,3
178,184,2
178,185,3
178,186,2
178,187,3
178,188,3
178,189,3
178,146,3
178,190,2
178,144,2
141,179,3
141,180,3
141,181,2
141,182,3
141,183,3
141,184,2
