Id,Label,single_count,edge_count,category
0,"pyyaml",141,1976,Data encoding and decoding
1,"sphinx_rtd_theme",3,104,Document tool
2,"sphinxcontrib-googleanalytics",1,194,Document tool
3,"typing",4,226,Code quality tool
4,"numpy",3,1061,Scientific computing and data processing
5,"enum34",1,0,Compatibility Testing
6,"sphinxcontrib.katex",4,6,Document tool
7,"sphinx",3,1975,Document tool
8,"exhale",2,6,Document tool
9,"matplotlib",2,4,Data visualization tool
10,"requests",5,6,Network tool
11,"javasphinx",4,0,Document tool
12,"suo/add-annotations-github-action",2,2,CI/CD tools
13,"pytorch/pytorch-probot",2,0,Machine learning tool
14,"actions/checkout",9,73,CI/CD tools
15,"future",3,3,Compatibility Testing
16,"actions/github-script",7,6,CI/CD tools
17,"tensorboard",2,4,Data visualization tool
18,"typing_extensions",3,2,Compatibility Testing
19,"dataclasses",4,1,Code generation and conversion
20,"PyGithub",1,1,System management tool
21,"breathe",1,7,Document tool
22,"actions/stale",2,1,CI/CD tools
23,"psutil",1,3,System management tool
24,"actions/setup-python",7,46,CI/CD tools
25,"potiuk/cancel-workflow-runs",5,0,CI/CD tools
26,"actions/setup-node",1,6,CI/CD tools
27,"docutils",1,6,Document tool
28,"dmnemec/copy_file_to_another_repo_action",2,0,CI/CD tools
29,"python-etcd",1,4,Scientific computing and data processing
30,"astunparse",1,0,Code generation and conversion
31,"seemethere/upload-artifact-s3",5,63,CI/CD tools
32,"actions/upload-artifact",7,52,CI/CD tools
33,"zhouzhuojie/checkout",5,63,CI/CD tools
34,"mccabe",1,2,Code quality tool
35,"actions/download-artifact",2,32,CI/CD tools
36,"flatbuffers",4,4,Data encoding and decoding
37,"conda-incubator/setup-miniconda",1,21,CI/CD tools
38,"mshick/add-pr-comment",1,1,CI/CD tools
39,"jinja2",5,5,Code generation and conversion
40,"nick-fields/retry",19,27,CI/CD tools
41,"sphinx-panels",1,4,Document tool
42,"Jinja2",3,2,Front-end development
43,"pytorch/pytorch/.github/actions/setup-ssh",1,1,CI/CD tools
44,"pytorch/pytorch/.github/actions/get-workflow-job-id",2,0,CI/CD tools
45,"pytorch/pytorch/.github/actions/checkout-pytorch",12,44,CI/CD tools
