Source,Target,Weight
0,67,1
68,69,28
0,2,562
70,7,38
2,30,561
2,6,37
71,72,196
73,3,332
2,9,127
10,3,50
12,2,87
15,14,7
16,0,16
15,17,4
2,13,13
17,14,1
11,74,147
16,13,3
75,76,100
18,2,213
14,13,149
20,13,15
20,21,11
77,21,2
12,21,8
12,22,59
22,21,71
2,22,149
79,78,137
27,31,88
78,80,393
24,23,56
18,21,63
27,23,19
27,21,40
28,21,31
11,16,130
19,0,208
19,21,30
30,23,60
31,30,122
31,2,114
0,14,142
35,81,33
19,23,80
75,82,69
34,21,18
32,21,23
36,21,63
36,23,120
18,38,27
39,38,29
40,38,33
2,34,14
41,14,47
19,14,29
34,14,3
0,23,94
43,21,6
83,54,6
14,23,12
85,84,1
44,45,12
0,46,37
36,0,182
56,64,132
42,46,15
42,23,33
54,52,125
47,21,8
36,19,147
20,2,216
49,22,96
54,86,84
54,87,119
43,51,290
22,88,22
89,90,53
54,59,154
36,41,163
43,53,27
54,53,117
0,53,31
55,2,16
55,36,9
36,56,57
54,55,13
36,58,39
59,60,25
2,25,172
57,91,43
58,51,104
92,63,28
0,25,231
36,65,6
93,92,4
66,22,65
2,48,205
0,48,244
0,32,522
0,94,260
32,94,260
0,6,2
0,30,580
95,10,106
95,96,106
10,96,106
11,2,3
11,13,54
74,13,53
16,74,89
18,13,2
18,16,4
75,19,96
19,76,205
0,13,77
0,21,150
21,13,74
20,14,3
78,21,69
79,21,9
27,0,31
31,0,121
0,78,71
0,79,9
97,98,126
97,78,62
98,78,62
80,21,60
31,21,46
27,2,18
80,23,63
78,23,63
0,80,66
24,80,19
24,78,19
21,23,102
11,28,8
16,28,8
29,80,10
29,78,10
99,74,40
99,48,40
74,48,40
21,14,56
35,27,23
27,81,23
41,0,308
19,32,144
32,23,69
82,19,196
2,21,55
100,101,240
100,102,240
101,102,240
36,32,120
40,39,16
41,2,197
41,34,4
19,41,187
83,103,5
54,103,83
54,47,133
54,85,1
47,85,1
54,84,117
47,84,117
42,43,5
43,23,40
36,46,36
18,56,145
18,64,93
46,23,9
42,21,20
52,47,70
43,57,277
57,51,241
41,32,225
45,49,26
45,22,27
86,87,76
50,54,68
50,87,21
52,87,78
52,89,1
52,90,1
52,59,76
54,2,78
59,2,57
59,53,97
54,43,101
66,48,110
66,0,136
43,25,185
51,25,149
55,25,10
55,56,9
54,51,78
56,57,134
64,57,82
60,37,54
59,37,18
71,6,10
72,6,10
71,2,268
2,72,177
73,71,267
73,72,170
71,3,267
72,3,170
0,9,110
30,9,105
12,104,104
12,97,74
12,98,74
104,97,119
104,98,119
16,14,1
15,16,1
15,0,1
18,11,4
18,74,4
75,13,13
19,13,13
13,76,13
20,0,243
97,79,56
98,79,56
27,78,57
31,78,61
27,79,28
31,79,28
27,80,41
31,80,45
80,22,15
78,22,20
27,22,16
31,22,19
18,80,17
18,78,17
24,21,41
99,21,7
74,21,7
21,48,35
80,14,6
78,14,6
27,14,21
41,27,17
35,14,26
81,14,26
35,0,26
0,81,30
32,14,34
82,23,67
75,23,21
35,100,5
35,101,5
35,102,5
100,23,70
101,23,70
102,23,70
12,100,118
12,101,118
12,102,118
18,40,10
18,39,197
83,21,1
54,21,8
103,21,1
54,14,11
47,14,11
14,84,11
45,14,7
45,0,42
44,14,9
44,0,27
18,36,174
36,64,53
54,42,10
54,23,28
52,42,5
52,23,5
47,42,5
47,23,23
19,46,33
19,42,17
54,93,86
59,93,86
93,53,86
43,45,24
45,57,24
45,51,17
50,86,18
43,87,29
87,51,29
54,22,26
54,88,13
52,22,8
52,88,7
89,22,6
89,88,32
90,22,6
90,88,32
52,86,63
59,87,78
54,89,17
54,90,17
59,89,14
59,90,14
41,56,131
41,64,79
41,48,207
66,41,120
54,57,83
92,58,24
50,92,17
63,58,36
50,63,19
50,58,47
105,106,51
105,107,51
105,1,51
105,108,51
106,107,51
106,1,100
106,108,51
107,1,51
107,108,51
1,108,51
109,106,95
109,110,95
109,3,95
109,111,95
106,110,95
106,3,144
106,111,95
110,3,95
110,111,95
3,111,95
73,2,259
73,0,264
73,30,265
2,3,278
0,3,283
30,3,283
3,9,18
104,77,141
104,17,56
77,97,111
97,17,56
77,98,111
98,17,56
77,17,56
95,13,48
95,9,48
10,13,48
10,9,48
96,13,48
13,9,48
96,9,126
75,14,2
14,76,4
97,21,3
98,21,3
80,2,18
78,2,35
100,80,123
100,78,172
101,80,123
101,78,172
102,80,123
102,78,172
24,0,160
18,24,168
11,80,10
16,80,10
11,78,10
16,78,10
11,0,12
99,23,29
74,23,29
23,48,85
80,30,4
78,30,4
35,21,12
81,21,14
27,32,13
12,35,2
43,32,182
32,57,205
32,51,156
57,23,38
23,51,20
54,0,94
47,0,64
0,84,61
18,0,283
56,0,148
64,0,96
42,0,16
86,43,19
86,57,19
86,51,19
59,86,69
86,93,67
86,53,69
54,36,45
36,87,1
36,43,99
36,51,74
52,43,21
52,51,21
89,2,38
90,2,38
53,87,74
52,53,67
20,56,153
20,64,101
20,39,186
20,32,214
56,39,125
56,32,153
64,39,73
64,32,101
39,32,199
