Id,Label,single_count,edge_count,category
0,"numpy",291,985,Scientific Computing and Data Processing
1,"gulp-rename",1,174,None
2,"protobuf",255,881,Data encoding and decoding
3,"typescript",13,446,programming language
4,"tsd",1,255,Front-end Development
5,"web-component-tester",3,309,Front-end Development
6,"typings",34,86,Front-end Development
7,"gulp-typings",3,38,Front-end Development
8,"gulp-clean-compiled-typescript",1,90,Front-end Development
9,"werkzeug",30,177,Front-end Development
10,"html5lib",13,133,Parsing tool
11,"backports.weakref",36,203,Compatibility Testing
12,"com.google.protobuf:protobuf-java",111,242,Data encoding and decoding
13,"tensorflow-tensorboard",134,333,Data visualization tool
14,"tensorflow",158,316,Machine learning tool
15,"autograd",15,11,Machine learning tool
16,"enum34",4,137,Compatibility Testing
17,"org.sonatype.plugins:nexus-staging-maven-plugin",5,61,Build tools
18,"absl-py",78,348,Scientific Computing and Data Processing
19,"gast",69,323,Parsing tool
20,"grpcio",31,308,Network tool
21,"tensorboard",379,390,Data visualization tool
22,"setuptools",189,276,Release tool
23,"tensorflow_estimator",119,332,Machine learning tool
24,"google_pasta",135,179,Code generation and conversion
25,"wrapt",44,261,Scientific Computing and Data Processing
26,"kissfft",4,0,Scientific Computing and Data Processing
27,"keras_applications",17,140,Machine learning tool
28,"opt_einsum",24,165,Scientific Computing and Data Processing
29,"org.apache.maven.plugins:maven-jar-plugin",42,10,Build tools
30,"six",16,618,Compatibility Testing
31,"keras_preprocessing",7,242,Machine learning tool
32,"scipy",80,590,Scientific Computing and Data Processing
33,"python-hostlist",2,0,System management tool
34,"pybind11",41,28,Compatibility Testing
35,"google-api-python-client",16,38,Security and certification
36,"flatbuffers",92,273,Data encoding and decoding
37,"typing_extensions",62,201,Compatibility Testing
38,"zofrex/mirror-branch",32,104,CI/CD tools
39,"portpicker",2,250,Scientific Computing and Data Processing
40,"junit:junit",10,119,None
41,"h5py",59,326,Scientific Computing and Data Processing
42,"keras",8,39,Machine learning tool
43,"keras-nightly",51,340,Machine learning tool
44,"clang",14,35,Parsing tool
45,"libclang",10,59,Parsing tool
46,"tensorflow-io-gcs-filesystem",25,46,Scientific Computing and Data Processing
47,"actions/setup-python",9,140,CI/CD tools
48,"wheel",3,283,Release tool
49,"packaging",3,122,Build tools
50,"PyYAML",3,148,Scientific Computing and Data Processing
51,"tf-estimator-nightly",4,291,Machine learning tool
52,"actions/github-script",15,126,CI/CD tools
53,"ossf/scorecard-action",10,125,Security and certification
54,"actions/checkout",23,364,CI/CD tools
55,"actions/stale",31,32,CI/CD tools
56,"jax",11,188,Scientific Computing and Data Processing
57,"tb-nightly",8,312,Data visualization tool
58,"lit",11,146,Front-end Development
59,"actions/upload-artifact",4,182,CI/CD tools
60,"ml_dtypes",7,65,Machine learning tool
61,"requests",3,76,Network tool
62,"urllib3",3,81,Network tool
63,"google/osv-scanner/.github/workflows/osv-scanner-reusable.yml",1,40,Security and certification
64,"jaxlib",2,132,Scientific Computing and Data Processing
65,"idna",3,75,Network tool
66,"certifi",2,144,Security and certification
67,"virtualenvwrapper",0,1,System management tool
68,"express",0,28,Front-end Development
